Rank,Subscribers,Video Views
291,26700000,17372718538
292,26700000,17376032740
293,26600000,15640592250
294,26600000,10008222274
295,26600000,10813309677
296,26600000,18636712467
297,26600000,19489890616
298,26500000,9489593240
299,26500000,6574407444
300,26500000,13440304618
301,26500000,13635954525
302,26500000,19717328070
303,26400000,7965508190
304,26400000,4973008729
305,26400000,5421154917
306,26400000,8721829142
307,26400000,19257939940
308,26300000,12377599605
309,26300000,8230254071
310,26200000,15317644976
311,26200000,7341043877
312,26200000,12562843598
313,26100000,9196907164
314,26100000,6821639296
315,26000000,11455874043
316,25900000,10615544155
317,25900000,16045515860
318,25900000,8751293350
319,25900000,11300553288
320,25800000,3009699303
321,25800000,13625068218
322,25700000,6120725721
323,25500000,19875511851
324,25500000,28386099648
325,25500000,61304856856
326,25500000,13107037686
327,25500000,25762589821
328,25400000,9898714808
329,25400000,15498785456
330,25400000,18624386304
331,25400000,16879097237
332,25300000,2534648632
333,25300000,3195399344
334,25300000,11234706438
335,25100000,334389615
336,25100000,14715233413
337,25000000,8153839062
338,25000000,7391196323
339,24900000,23456792168
340,24900000,11785002628
341,24900000,20480917809
342,24900000,25161837765
343,24800000,3213570348
344,24800000,811834607
345,24800000,23243247645
346,24800000,25248708175
347,24700000,12477465488
348,24700000,14360305008
349,24700000,2591854738
350,24700000,15654857124
351,24600000,19059785058
352,24600000,2725940295
353,24600000,5721879194
354,24600000,22117339041
355,24500000,24642699757
356,24500000,12073427908
357,24500000,16094889854
358,24500000,7567332841
359,24500000,8740327902
360,24400000,2471067530
361,24400000,4281848648
362,24400000,9019443750
363,24400000,29804582349
364,24300000,40789804804
365,24200000,11225887630
366,24200000,16225356310
367,24200000,4703492992
368,24200000,9484617906
369,24200000,12988202937
370,24100000,27195199241
371,24100000,6015064768
372,24100000,9907207411
373,24100000,17265860259
374,24100000,22293073309
375,24000000,15313277625
376,24000000,6815206179
377,23900000,16745620577
378,23900000,10367409593
379,23900000,0
380,23900000,11944841316
381,23900000,16148644480
382,23900000,17730467073
383,23900000,13560874288
384,23900000,23988212754
385,23800000,2674530721
386,23800000,4385121146
387,23800000,15261004118
388,23800000,9946824528
389,23700000,12177702963
390,23600000,9285795217
391,23600000,22564386221
392,23600000,13183103352
393,23600000,10111758211
394,23600000,15097835047
395,23500000,3691957035
396,23500000,6007122175
397,23500000,14794725260
398,23500000,17433052398
399,23400000,6360006337
400,23400000,8158026297
401,23400000,14483395240
402,23400000,17310272486
403,23300000,24962673389
404,23300000,18042920476
405,23300000,17986253838
406,23300000,21148246283
407,23200000,15750785099
408,23200000,2349240148
409,23200000,10023878406
410,23200000,6026176322
411,23200000,0
412,23200000,10043437019
413,23100000,18230048821
414,23000000,11695707712
415,23000000,5696678831
416,23000000,5763740869
417,23000000,10608072608
418,23000000,13679754844
419,23000000,20411844173
420,22900000,1695
421,22900000,17538679092
422,22900000,12412814922
423,22800000,7190931762
424,22800000,6075071046
425,22800000,6333179004
426,22700000,8725587487
427,22700000,15017385756
428,22600000,14002030879
429,22600000,2954579022
430,22500000,14279799168
431,22500000,8101817736
432,22500000,10915526749
433,22500000,9434153975
434,22500000,2800131013
435,22500000,12180061255
436,22500000,14219681967
437,22500000,21225650278
438,22300000,4072118537
439,22300000,5557023219
440,22200000,9241100888
441,22200000,6872543361
442,22200000,6349928074
443,22200000,9422402979
444,22100000,8879309465
445,22100000,11446237288
446,22100000,23860605222
447,22000000,9427786164
448,22000000,12252742318
449,22000000,14831349337
450,21900000,11653165841
451,21900000,4210380702
452,21900000,4198701599
453,21800000,12580836932
454,21800000,14133850347
455,21800000,11263566913
456,21800000,11488608887
457,21800000,16632894177
458,21800000,19300760157
459,21700000,4969252781
460,21700000,8887407588
461,21700000,11479720130
462,21700000,12649946332
463,21700000,19282604430
464,21600000,8679185899
465,21500000,18270658133
466,21400000,504514278
467,21400000,4660788889
468,21400000,15103016841
469,21400000,5146328711
470,21400000,6141542377
471,21300000,8468952675
472,21300000,4122824348
473,21300000,7294227753
474,21300000,6255745579
475,21200000,2180278735
476,21200000,14660036779
477,21200000,1945428465
478,21200000,3647332270
479,21200000,3923245813
480,21200000,9981262944
481,21100000,4748593434
482,21100000,6589156906
483,21100000,11911089146
484,21100000,25934248202
485,21000000,16401443032
486,21000000,9526429178
487,21000000,11040473450
488,21000000,9545542817
489,21000000,10130019114
490,21000000,11010943271
491,20900000,12170436886
492,20900000,2760532672
493,20900000,2942996061
494,20900000,3291850144
495,20900000,4397186446
496,20800000,22443721218
497,20800000,1913573875
498,20800000,5013710774
499,20800000,2605376381
500,20800000,9035908754
